,sample_number,sampled_date,month,text_id,room,building,class,sample_site,sample_type,results,units,analysis
128,9548823,2022-04-04,2022-04-04 00:00:00,V-91151-1-30APR22-1,91151,9,ISO_8,V-91151-1,viable air,0,CFU_M3,EM_VAIR_M3
129,9548824,2022-04-04,2022-04-04 00:00:00,V-91154-1-30APR22-1,91154,9,ISO_8,V-91154-1,viable air,0,CFU_M3,EM_VAIR_M3
130,9548840,2022-04-04,2022-04-04 00:00:00,V-91177-1-30APR22-1,91177,9,ISO_8,V-91177-1,viable air,0,CFU_M3,EM_VAIR_M3
131,9548832,2022-04-04,2022-04-04 00:00:00,V-91172-2-30APR22-1,91172,9,ISO_8,V-91172-2,viable air,0,CFU_M3,EM_VAIR_M3
132,9548831,2022-04-04,2022-04-04 00:00:00,V-91172-1-30APR22-1,91172,9,ISO_8,V-91172-1,viable air,0,CFU_M3,EM_VAIR_M3
133,9548839,2022-04-04,2022-04-04 00:00:00,V-91176-1-30APR22-1,91176,9,ISO_8,V-91176-1,viable air,6,CFU_M3,EM_VAIR_M3
134,9548833,2022-04-04,2022-04-04 00:00:00,V-91172-3-30APR22-1,91172,9,ISO_8,V-91172-3,viable air,0,CFU_M3,EM_VAIR_M3
135,9548838,2022-04-04,2022-04-04 00:00:00,V-91175-1-30APR22-1,91175,9,ISO_8,V-91175-1,viable air,0,CFU_M3,EM_VAIR_M3
136,9548835,2022-04-04,2022-04-04 00:00:00,V-91172-5-30APR22-1,91172,9,ISO_8,V-91172-5,viable air,0,CFU_M3,EM_VAIR_M3
137,9548825,2022-04-04,2022-04-04 00:00:00,V-91170-1-30APR22-1,91170,9,ISO_8,V-91170-1,viable air,0,CFU_M3,EM_VAIR_M3
138,9548837,2022-04-04,2022-04-04 00:00:00,V-91174-1-30APR22-1,91174,9,ISO_8,V-91174-1,viable air,3,CFU_M3,EM_VAIR_M3
139,9548836,2022-04-04,2022-04-04 00:00:00,V-91173-1-30APR22-1,91173,9,ISO_8,V-91173-1,viable air,0,CFU_M3,EM_VAIR_M3
140,9548834,2022-04-04,2022-04-04 00:00:00,V-91172-4-30APR22-1,91172,9,ISO_8,V-91172-4,viable air,0,CFU_M3,EM_VAIR_M3
141,9548830,2022-04-04,2022-04-04 00:00:00,V-91171-5-30APR22-1,91171,9,ISO_8,V-91171-5,viable air,0,CFU_M3,EM_VAIR_M3
142,9508577,2022-04-04,2022-04-04 00:00:00,F-91151S-1-30APR22-1,91151,9,ISO_8,F-91151S-1,surface,0,CFU_25CM2,EM_RODAC
143,9548826,2022-04-04,2022-04-04 00:00:00,V-91171-1-30APR22-1,91171,9,ISO_8,V-91171-1,viable air,0,CFU_M3,EM_VAIR_M3
144,9508587,2022-04-04,2022-04-04 00:00:00,F-91173S-1-30APR22-1,91173,9,ISO_8,F-91173S-1,surface,1,CFU_25CM2,EM_RODAC
145,9508598,2022-04-04,2022-04-04 00:00:00,W-91173S-1-30APR22-1,91173,9,ISO_8,W-91173S-1,surface,0,CFU_25CM2,EM_RODAC
146,9508588,2022-04-04,2022-04-04 00:00:00,F-91174S-1-30APR22-1,91174,9,ISO_8,F-91174S-1,surface,0,CFU_25CM2,EM_RODAC
147,9508589,2022-04-04,2022-04-04 00:00:00,F-91175S-1-30APR22-1,91175,9,ISO_8,F-91175S-1,surface,0,CFU_25CM2,EM_RODAC
148,9508590,2022-04-04,2022-04-04 00:00:00,F-91176S-1-30APR22-1,91176,9,ISO_8,F-91176S-1,surface,1,CFU_25CM2,EM_RODAC
149,9508599,2022-04-04,2022-04-04 00:00:00,W-91176S-1-30APR22-1,91176,9,ISO_8,W-91176S-1,surface,0,CFU_25CM2,EM_RODAC
150,9548827,2022-04-04,2022-04-04 00:00:00,V-91171-2-30APR22-1,91171,9,ISO_8,V-91171-2,viable air,1,CFU_M3,EM_VAIR_M3
151,9508591,2022-04-04,2022-04-04 00:00:00,F-91177S-1-30APR22-1,91177,9,ISO_8,F-91177S-1,surface,0,CFU_25CM2,EM_RODAC
152,9508592,2022-04-04,2022-04-04 00:00:00,F-91178S-1-30APR22-1,91178,9,ISO_8,F-91178S-1,surface,0,CFU_25CM2,EM_RODAC
153,9508600,2022-04-04,2022-04-04 00:00:00,W-91178S-1-30APR22-1,91178,9,ISO_8,W-91178S-1,surface,0,CFU_25CM2,EM_RODAC
154,9508578,2022-04-04,2022-04-04 00:00:00,F-91154S-1-30APR22-1,91154,9,ISO_8,F-91154S-1,surface,1,CFU_25CM2,EM_RODAC
155,9508593,2022-04-04,2022-04-04 00:00:00,W-91154S-1-30APR22-1,91154,9,ISO_8,W-91154S-1,surface,1,CFU_25CM2,EM_RODAC
156,9508583,2022-04-04,2022-04-04 00:00:00,F-91172S-2-30APR22-1,91172,9,ISO_8,F-91172S-2,surface,0,CFU_25CM2,EM_RODAC
157,9508582,2022-04-04,2022-04-04 00:00:00,F-91172S-1-30APR22-1,91172,9,ISO_8,F-91172S-1,surface,0,CFU_25CM2,EM_RODAC
158,9508596,2022-04-04,2022-04-04 00:00:00,W-91172S-1-30APR22-1,91172,9,ISO_8,W-91172S-1,surface,0,CFU_25CM2,EM_RODAC
159,9548828,2022-04-04,2022-04-04 00:00:00,V-91171-3-30APR22-1,91171,9,ISO_8,V-91171-3,viable air,1,CFU_M3,EM_VAIR_M3
160,9508586,2022-04-04,2022-04-04 00:00:00,F-91172S-5-30APR22-1,91172,9,ISO_8,F-91172S-5,surface,0,CFU_25CM2,EM_RODAC
161,9508585,2022-04-04,2022-04-04 00:00:00,F-91172S-4-30APR22-1,91172,9,ISO_8,F-91172S-4,surface,0,CFU_25CM2,EM_RODAC
162,9508597,2022-04-04,2022-04-04 00:00:00,W-91172S-2-30APR22-1,91172,9,ISO_8,W-91172S-2,surface,0,CFU_25CM2,EM_RODAC
163,9508581,2022-04-04,2022-04-04 00:00:00,F-91171S-2-30APR22-1,91171,9,ISO_8,F-91171S-2,surface,0,CFU_25CM2,EM_RODAC
164,9508584,2022-04-04,2022-04-04 00:00:00,F-91172S-3-30APR22-1,91172,9,ISO_8,F-91172S-3,surface,1,CFU_25CM2,EM_RODAC
165,9508580,2022-04-04,2022-04-04 00:00:00,F-91171S-1-30APR22-1,91171,9,ISO_8,F-91171S-1,surface,0,CFU_25CM2,EM_RODAC
166,9508595,2022-04-04,2022-04-04 00:00:00,W-91171S-1-30APR22-1,91171,9,ISO_8,W-91171S-1,surface,0,CFU_25CM2,EM_RODAC
167,9508579,2022-04-04,2022-04-04 00:00:00,F-91170S-1-30APR22-1,91170,9,ISO_8,F-91170S-1,surface,0,CFU_25CM2,EM_RODAC
168,9508594,2022-04-04,2022-04-04 00:00:00,W-91170S-1-30APR22-1,91170,9,ISO_8,W-91170S-1,surface,0,CFU_25CM2,EM_RODAC
169,9548829,2022-04-04,2022-04-04 00:00:00,V-91171-4-30APR22-1,91171,9,ISO_8,V-91171-4,viable air,0,CFU_M3,EM_VAIR_M3
170,9553821,2022-04-05,2022-04-05 00:00:00,V-92057-A-05APR22-1,92057,9,ISO_8,V-92057-A,viable air,0,CFU_M3,EM_VAIR_M3
171,9553819,2022-04-05,2022-04-05 00:00:00,V-94003-A-05APR22-1,94003,9,ISO_8,V-94003-A,viable air,0,CFU_M3,EM_VAIR_M3
172,9553817,2022-04-05,2022-04-05 00:00:00,V-93110-A-05APR22-1,93110,9,ISO_8,V-93110-A,viable air,0,CFU_M3,EM_VAIR_M3
292,9551482,2022-04-05,2022-04-05 00:00:00,S-92074-H-1-09APR22-1,92074,9,ISO_5,S-92074-H-1,surface,0,CFU_25CM2,EM_RODAC
293,9551485,2022-04-05,2022-04-05 00:00:00,S-92074-H-2-09APR22-1,92074,9,ISO_5,S-92074-H-2,surface,0,CFU_25CM2,EM_RODAC
294,9547660,2022-04-05,2022-04-05 00:00:00,V-92074-1-15APR22-1,92074,9,ISO_8,V-92074-1,viable air,0,CFU_M3,EM_VAIR_M3
295,9547664,2022-04-05,2022-04-05 00:00:00,V-92074-2-15APR22-1,92074,9,ISO_8,V-92074-2,viable air,0,CFU_M3,EM_VAIR_M3
296,9551488,2022-04-05,2022-04-05 00:00:00,V-92074-H-1-09APR22-1,92074,9,ISO_5,V-92074-H-1,viable air,0,CFU_M3,EM_VAIR_M3
297,9547653,2022-04-05,2022-04-05 00:00:00,V-92070-1-15APR22-1,92070,9,ISO_8,V-92070-1,viable air,0,CFU_M3,EM_VAIR_M3
298,9547656,2022-04-05,2022-04-05 00:00:00,V-92073-1-15APR22-1,92073,9,ISO_8,V-92073-1,viable air,0,CFU_M3,EM_VAIR_M3
299,9551496,2022-04-05,2022-04-05 00:00:00,V-92074-H-2-09APR22-1,92074,9,ISO_5,V-92074-H-2,viable air,0,CFU_M3,EM_VAIR_M3
300,9547571,2022-04-05,2022-04-05 00:00:00,W-92074S-1-15APR22-1,92074,9,ISO_8,W-92074S-1,surface,0,CFU_25CM2,EM_RODAC
301,9547575,2022-04-05,2022-04-05 00:00:00,W-92074S-2-15APR22-1,92074,9,ISO_8,W-92074S-2,surface,0,CFU_25CM2,EM_RODAC
302,9547578,2022-04-05,2022-04-05 00:00:00,W-92074S-3-15APR22-1,92074,9,ISO_8,W-92074S-3,surface,0,CFU_25CM2,EM_RODAC
303,9547581,2022-04-05,2022-04-05 00:00:00,W-92074S-4-15APR22-1,92074,9,ISO_8,W-92074S-4,surface,0,CFU_25CM2,EM_RODAC
304,9547561,2022-04-05,2022-04-05 00:00:00,F-92074S-1-15APR22-1,92074,9,ISO_8,F-92074S-1,surface,6,CFU_25CM2,EM_RODAC
305,9547553,2022-04-05,2022-04-05 00:00:00,F-92070S-1-15APR22-1,92070,9,ISO_8,F-92070S-1,surface,1,CFU_25CM2,EM_RODAC
306,9547564,2022-04-05,2022-04-05 00:00:00,W-92070S-1-15APR22-1,92070,9,ISO_8,W-92070S-1,surface,0,CFU_25CM2,EM_RODAC
307,9547557,2022-04-05,2022-04-05 00:00:00,F-92073S-1-15APR22-1,92073,9,ISO_8,F-92073S-1,surface,0,CFU_25CM2,EM_RODAC
308,9547568,2022-04-05,2022-04-05 00:00:00,W-92073S-1-15APR22-1,92073,9,ISO_8,W-92073S-1,surface,0,CFU_25CM2,EM_RODAC
309,9554113,2022-04-05,2022-04-05 00:00:00,F-92057S-A-05APR22-1,92057,9,ISO_8,F-92057S-A,surface,0,CFU_25CM2,EM_RODAC
310,9554114,2022-04-05,2022-04-05 00:00:00,V-92057-A-05APR22-2,92057,9,ISO_8,V-92057-A,viable air,1,CFU_M3,EM_VAIR_M3
311,9554444,2022-04-06,2022-04-06 00:00:00,F-91171S-A-06APR22-1,91171,9,ISO_8,F-91171S-A,surface,0,CFU_25CM2,EM_RODAC
312,9554443,2022-04-06,2022-04-06 00:00:00,V-91171-A-06APR22-1,91171,9,ISO_8,V-91171-A,viable air,1,CFU_M3,EM_VAIR_M3
313,9554448,2022-04-06,2022-04-06 00:00:00,V-92057-A-06APR22-1,92057,9,ISO_8,V-92057-A,viable air,4,CFU_M3,EM_VAIR_M3
314,9554452,2022-04-06,2022-04-06 00:00:00,V-93110-A-06APR22-1,93110,9,ISO_8,V-93110-A,viable air,0,CFU_M3,EM_VAIR_M3
319,9554454,2022-04-06,2022-04-06 00:00:00,V-94003-A-06APR22-1,94003,9,ISO_8,V-94003-A,viable air,0,CFU_M3,EM_VAIR_M3
330,9555732,2022-04-07,2022-04-07 00:00:00,V-92057-A-07APR22-1,92057,9,ISO_8,V-92057-A,viable air,0,CFU_M3,EM_VAIR_M3
331,9555694,2022-04-07,2022-04-07 00:00:00,V-93110-A-07APR22-1,93110,9,ISO_8,V-93110-A,viable air,0,CFU_M3,EM_VAIR_M3
332,9555696,2022-04-07,2022-04-07 00:00:00,V-93110-B-07APR22-1,93110,9,ISO_8,V-93110-B,viable air,0,CFU_M3,EM_VAIR_M3
333,9555753,2022-04-07,2022-04-07 00:00:00,F-93110S-A-07APR22-1,93110,9,ISO_8,F-93110S-A,surface,0,CFU_25CM2,EM_RODAC
334,9555755,2022-04-07,2022-04-07 00:00:00,F-93110S-B-07APR22-1,93110,9,ISO_8,F-93110S-B,surface,0,CFU_25CM2,EM_RODAC
335,9555695,2022-04-07,2022-04-07 00:00:00,V-94003-A-07APR22-1,94003,9,ISO_8,V-94003-A,viable air,0,CFU_M3,EM_VAIR_M3
336,9555697,2022-04-07,2022-04-07 00:00:00,V-94003-B-07APR22-1,94003,9,ISO_8,V-94003-B,viable air,0,CFU_M3,EM_VAIR_M3
337,9555754,2022-04-07,2022-04-07 00:00:00,F-94003S-A-07APR22-1,94003,9,ISO_8,F-94003S-A,surface,0,CFU_25CM2,EM_RODAC
338,9555756,2022-04-07,2022-04-07 00:00:00,F-94003S-B-07APR22-1,94003,9,ISO_8,F-94003S-B,surface,0,CFU_25CM2,EM_RODAC
339,9548847,2022-04-07,2022-04-07 00:00:00,V-91140-1-15APR22-1,91140,9,ISO_8,V-91140-1,viable air,0,CFU_M3,EM_VAIR_M3
340,9548850,2022-04-07,2022-04-07 00:00:00,V-91142-1-15APR22-1,91142,9,ISO_8,V-91142-1,viable air,0,CFU_M3,EM_VAIR_M3
341,9548851,2022-04-07,2022-04-07 00:00:00,V-91143-1-15APR22-1,91143,9,ISO_8,V-91143-1,viable air,0,CFU_M3,EM_VAIR_M3
342,9548848,2022-04-07,2022-04-07 00:00:00,V-91141-1-15APR22-1,91141,9,ISO_8,V-91141-1,viable air,3,CFU_M3,EM_VAIR_M3
343,9548849,2022-04-07,2022-04-07 00:00:00,V-91141-3-15APR22-1,91141,9,ISO_8,V-91141-3,viable air,1,CFU_M3,EM_VAIR_M3
351,9557490,2022-04-08,2022-04-08 00:00:00,F-91170S-1-08APR22-2,91170,9,ISO_8,F-91170S-1,surface,1,CFU_25CM2,EM_RODAC
352,9557503,2022-04-08,2022-04-08 00:00:00,W-91170S-1-08APR22-2,91170,9,ISO_8,W-91170S-1,surface,1,CFU_25CM2,EM_RODAC
353,9557504,2022-04-08,2022-04-08 00:00:00,W-91171S-1-08APR22-2,91171,9,ISO_8,W-91171S-1,surface,0,CFU_25CM2,EM_RODAC
354,9557491,2022-04-08,2022-04-08 00:00:00,F-91171S-1-08APR22-2,91171,9,ISO_8,F-91171S-1,surface,0,CFU_25CM2,EM_RODAC
355,9557492,2022-04-08,2022-04-08 00:00:00,F-91171S-2-08APR22-2,91171,9,ISO_8,F-91171S-2,surface,0,CFU_25CM2,EM_RODAC
356,9557444,2022-04-08,2022-04-08 00:00:00,V-91171-1-08APR22-2,91171,9,ISO_8,V-91171-1,viable air,0,CFU_M3,EM_VAIR_M3
357,9557445,2022-04-08,2022-04-08 00:00:00,V-91171-2-08APR22-2,91171,9,ISO_8,V-91171-2,viable air,0,CFU_M3,EM_VAIR_M3
358,9557448,2022-04-08,2022-04-08 00:00:00,V-91171-5-08APR22-2,91171,9,ISO_8,V-91171-5,viable air,0,CFU_M3,EM_VAIR_M3
359,9557446,2022-04-08,2022-04-08 00:00:00,V-91171-3-08APR22-2,91171,9,ISO_8,V-91171-3,viable air,0,CFU_M3,EM_VAIR_M3
360,9557447,2022-04-08,2022-04-08 00:00:00,V-91171-4-08APR22-2,91171,9,ISO_8,V-91171-4,viable air,0,CFU_M3,EM_VAIR_M3
361,9557443,2022-04-08,2022-04-08 00:00:00,V-91170-1-08APR22-2,91170,9,ISO_8,V-91170-1,viable air,0,CFU_M3,EM_VAIR_M3
362,9557452,2022-04-08,2022-04-08 00:00:00,V-91172-4-08APR22-2,91172,9,ISO_8,V-91172-4,viable air,0,CFU_M3,EM_VAIR_M3
363,9557454,2022-04-08,2022-04-08 00:00:00,V-91173-1-08APR22-2,91173,9,ISO_8,V-91173-1,viable air,0,CFU_M3,EM_VAIR_M3
364,9557455,2022-04-08,2022-04-08 00:00:00,V-91175-1-08APR22-2,91175,9,ISO_8,V-91175-1,viable air,0,CFU_M3,EM_VAIR_M3
365,9557451,2022-04-08,2022-04-08 00:00:00,V-91172-3-08APR22-2,91172,9,ISO_8,V-91172-3,viable air,0,CFU_M3,EM_VAIR_M3
366,9557509,2022-04-08,2022-04-08 00:00:00,W-91178S-1-08APR22-2,91178,9,ISO_8,W-91178S-1,surface,0,CFU_25CM2,EM_RODAC
367,9557502,2022-04-08,2022-04-08 00:00:00,F-91178S-1-08APR22-2,91178,9,ISO_8,F-91178S-1,surface,0,CFU_25CM2,EM_RODAC
368,9557450,2022-04-08,2022-04-08 00:00:00,V-91172-2-08APR22-2,91172,9,ISO_8,V-91172-2,viable air,0,CFU_M3,EM_VAIR_M3
369,9557456,2022-04-08,2022-04-08 00:00:00,V-91176-1-08APR22-2,91176,9,ISO_8,V-91176-1,viable air,0,CFU_M3,EM_VAIR_M3
370,9557494,2022-04-08,2022-04-08 00:00:00,F-91172S-2-08APR22-2,91172,9,ISO_8,F-91172S-2,surface,0,CFU_25CM2,EM_RODAC
371,9557493,2022-04-08,2022-04-08 00:00:00,F-91172S-1-08APR22-2,91172,9,ISO_8,F-91172S-1,surface,0,CFU_25CM2,EM_RODAC
372,9557505,2022-04-08,2022-04-08 00:00:00,W-91172S-1-08APR22-2,91172,9,ISO_8,W-91172S-1,surface,0,CFU_25CM2,EM_RODAC
373,9557501,2022-04-08,2022-04-08 00:00:00,F-91177S-1-08APR22-2,91177,9,ISO_8,F-91177S-1,surface,0,CFU_25CM2,EM_RODAC
374,9557457,2022-04-08,2022-04-08 00:00:00,V-91177-1-08APR22-2,91177,9,ISO_8,V-91177-1,viable air,0,CFU_M3,EM_VAIR_M3
375,9557495,2022-04-08,2022-04-08 00:00:00,F-91172S-3-08APR22-2,91172,9,ISO_8,F-91172S-3,surface,0,CFU_25CM2,EM_RODAC
376,9557508,2022-04-08,2022-04-08 00:00:00,W-91176S-1-08APR22-2,91176,9,ISO_8,W-91176S-1,surface,0,CFU_25CM2,EM_RODAC
377,9557499,2022-04-08,2022-04-08 00:00:00,F-91175S-1-08APR22-2,91175,9,ISO_8,F-91175S-1,surface,0,CFU_25CM2,EM_RODAC
378,9557500,2022-04-08,2022-04-08 00:00:00,F-91176S-1-08APR22-2,91176,9,ISO_8,F-91176S-1,surface,0,CFU_25CM2,EM_RODAC
379,9557458,2022-04-08,2022-04-08 00:00:00,V-91178-1-08APR22-2,91178,9,ISO_8,V-91178-1,viable air,0,CFU_M3,EM_VAIR_M3
380,9557497,2022-04-08,2022-04-08 00:00:00,F-91172S-5-08APR22-2,91172,9,ISO_8,F-91172S-5,surface,0,CFU_25CM2,EM_RODAC
381,9557496,2022-04-08,2022-04-08 00:00:00,F-91172S-4-08APR22-2,91172,9,ISO_8,F-91172S-4,surface,0,CFU_25CM2,EM_RODAC
382,9557506,2022-04-08,2022-04-08 00:00:00,W-91172S-2-08APR22-2,91172,9,ISO_8,W-91172S-2,surface,0,CFU_25CM2,EM_RODAC
383,9557498,2022-04-08,2022-04-08 00:00:00,F-91173S-1-08APR22-2,91173,9,ISO_8,F-91173S-1,surface,0,CFU_25CM2,EM_RODAC
384,9557507,2022-04-08,2022-04-08 00:00:00,W-91173S-1-08APR22-2,91173,9,ISO_8,W-91173S-1,surface,0,CFU_25CM2,EM_RODAC
385,9557453,2022-04-08,2022-04-08 00:00:00,V-91172-5-08APR22-2,91172,9,ISO_8,V-91172-5,viable air,0,CFU_M3,EM_VAIR_M3
386,9557449,2022-04-08,2022-04-08 00:00:00,V-91172-1-08APR22-2,91172,9,ISO_8,V-91172-1,viable air,0,CFU_M3,EM_VAIR_M3
387,9557356,2022-04-08,2022-04-08 00:00:00,V-91141-A-08APR22-1,91141,9,ISO_8,V-91141-A,viable air,0,CFU_M3,EM_VAIR_M3
412,9557556,2022-04-08,2022-04-08 00:00:00,S-91141-H-2-08APR22-1,91141,9,ISO_8,S-91141-H-2,surface,0,CFU_25CM2,EM_RODAC
414,9558545,2022-04-09,2022-04-09 00:00:00,V-92058-2-09APR22-1,92058,9,ISO_8,V-92058-2,viable air,0,CFU_M3,EM_VAIR_M3
415,9558544,2022-04-09,2022-04-09 00:00:00,V-92058-1-09APR22-1,92058,9,ISO_8,V-92058-1,viable air,0,CFU_M3,EM_VAIR_M3
416,9558539,2022-04-09,2022-04-09 00:00:00,V-92014-1-09APR22-1,92014,9,ISO_8,V-92014-1,viable air,0,CFU_M3,EM_VAIR_M3
417,9558586,2022-04-09,2022-04-09 00:00:00,F-91141S-A-09APR22-1,91141,9,ISO_8,F-91141S-A,surface,1,CFU_25CM2,EM_RODAC
418,9558585,2022-04-09,2022-04-09 00:00:00,V-91141-A-09APR22-1,91141,9,ISO_8,V-91141-A,viable air,5,CFU_M3,EM_VAIR_M3
456,9558542,2022-04-09,2022-04-09 00:00:00,V-92057-2-09APR22-1,92057,9,ISO_8,V-92057-2,viable air,0,CFU_M3,EM_VAIR_M3
457,9558543,2022-04-09,2022-04-09 00:00:00,V-92057-3-09APR22-1,92057,9,ISO_8,V-92057-3,viable air,0,CFU_M3,EM_VAIR_M3
458,9558541,2022-04-09,2022-04-09 00:00:00,V-92057-1-09APR22-1,92057,9,ISO_8,V-92057-1,viable air,0,CFU_M3,EM_VAIR_M3
