sample_number,sampled_date,text_id,room,class,sample_site,sample_type,results,units
9550992,2022-04-01,S-92092-H-1-01APR22-1,92092,ISO_5,S-92092-H-1,surface,0,CFU_25CM2
9550993,2022-04-01,V-92092-H-1-01APR22-1,92092,ISO_5,V-92092-H-1,viable air,0,CFU_M3
9548758,2022-04-02,SP-91160-1-15APR22-1,91160,ISO_8,SP-91160-1,settle plate,0,CFU
9548778,2022-04-02,V-91160-8-15APR22-1,91160,ISO_8,V-91160-8,viable air,0,CFU_M3
9548776,2022-04-02,V-91160-7-15APR22-1,91160,ISO_8,V-91160-7,viable air,0,CFU_M3
9548774,2022-04-02,V-91160-6-15APR22-1,91160,ISO_8,V-91160-6,viable air,0,CFU_M3
9548764,2022-04-02,V-91157-1-15APR22-1,91157,ISO_8,V-91157-1,viable air,0,CFU_M3
9548787,2022-04-02,V-91163-1-15APR22-1,91163,ISO_8,V-91163-1,viable air,0,CFU_M3
9548575,2022-04-02,F-91164S-1-30APR22-1,91164,ISO_8,F-91164S-1,surface,0,CFU_25CM2
9548572,2022-04-02,F-91163S-1-30APR22-1,91163,ISO_8,F-91163S-1,surface,0,CFU_25CM2
9548589,2022-04-02,W-91164S-1-30APR22-1,91164,ISO_8,W-91164S-1,surface,0,CFU_25CM2
9548591,2022-04-02,W-91164S-2-30APR22-1,91164,ISO_8,W-91164S-2,surface,0,CFU_25CM2
9548584,2022-04-02,W-91160S-3-30APR22-1,91160,ISO_8,W-91160S-3,surface,0,CFU_25CM2
9548568,2022-04-02,F-91160S-5-30APR22-1,91160,ISO_8,F-91160S-5,surface,0,CFU_25CM2
9548579,2022-04-02,W-91160S-1-30APR22-1,91160,ISO_8,W-91160S-1,surface,0,CFU_25CM2
9548582,2022-04-02,W-91160S-2-30APR22-1,91160,ISO_8,W-91160S-2,surface,1,CFU_25CM2
9548566,2022-04-02,F-91160S-4-30APR22-1,91160,ISO_8,F-91160S-4,surface,0,CFU_25CM2
9548586,2022-04-02,W-91160S-4-30APR22-1,91160,ISO_8,W-91160S-4,surface,0,CFU_25CM2
9548771,2022-04-02,V-91160-2-15APR22-1,91160,ISO_8,V-91160-2,viable air,0,CFU_M3
9548561,2022-04-02,F-91160S-1-30APR22-1,91160,ISO_8,F-91160S-1,surface,1,CFU_25CM2
9548563,2022-04-02,F-91160S-2-30APR22-1,91160,ISO_8,F-91160S-2,surface,2,CFU_25CM2
9548564,2022-04-02,F-91160S-3-30APR22-1,91160,ISO_8,F-91160S-3,surface,0,CFU_25CM2
9548767,2022-04-02,V-91160-1-15APR22-1,91160,ISO_8,V-91160-1,viable air,0,CFU_M3
9548772,2022-04-02,V-91160-3-15APR22-1,91160,ISO_8,V-91160-3,viable air,0,CFU_M3
9548569,2022-04-02,F-91161S-1-30APR22-1,91161,ISO_8,F-91161S-1,surface,2,CFU_25CM2
9548571,2022-04-02,F-91162S-1-30APR22-1,91162,ISO_8,F-91162S-1,surface,3,CFU_25CM2
9548587,2022-04-02,W-91162S-1-30APR22-1,91162,ISO_8,W-91162S-1,surface,0,CFU_25CM2
9548769,2022-04-02,V-91160-11-15APR22-1,91160,ISO_8,V-91160-11,viable air,0,CFU_M3
9548559,2022-04-02,F-91157S-1-30APR22-1,91157,ISO_8,F-91157S-1,surface,4,CFU_25CM2
9548760,2022-04-02,V-91155-1-15APR22-1,91155,ISO_8,V-91155-1,viable air,0,CFU_M3
9548577,2022-04-02,W-91155S-1-30APR22-1,91155,ISO_8,W-91155S-1,surface,0,CFU_25CM2
9548557,2022-04-02,F-91155S-1-30APR22-1,91155,ISO_8,F-91155S-1,surface,0,CFU_25CM2
9548780,2022-04-02,V-91160-9-15APR22-1,91160,ISO_8,V-91160-9,viable air,0,CFU_M3
9548788,2022-04-02,V-91164-1-15APR22-1,91164,ISO_8,V-91164-1,viable air,0,CFU_M3
9548782,2022-04-02,V-91161-1-15APR22-1,91161,ISO_8,V-91161-1,viable air,0,CFU_M3
9548784,2022-04-02,V-91162-1-15APR22-1,91162,ISO_8,V-91162-1,viable air,0,CFU_M3
9548822,2022-04-04,SP-91172-1-30APR22-1,91172,ISO_8,SP-91172-1,settle plate,0,CFU
9548821,2022-04-04,SP-91171-1-30APR22-1,91171,ISO_8,SP-91171-1,settle plate,0,CFU
9548841,2022-04-04,V-91178-1-30APR22-1,91178,ISO_8,V-91178-1,viable air,0,CFU_M3
9548823,2022-04-04,V-91151-1-30APR22-1,91151,ISO_8,V-91151-1,viable air,0,CFU_M3
9548824,2022-04-04,V-91154-1-30APR22-1,91154,ISO_8,V-91154-1,viable air,0,CFU_M3
9548840,2022-04-04,V-91177-1-30APR22-1,91177,ISO_8,V-91177-1,viable air,0,CFU_M3
9548832,2022-04-04,V-91172-2-30APR22-1,91172,ISO_8,V-91172-2,viable air,0,CFU_M3
9548831,2022-04-04,V-91172-1-30APR22-1,91172,ISO_8,V-91172-1,viable air,0,CFU_M3
9548839,2022-04-04,V-91176-1-30APR22-1,91176,ISO_8,V-91176-1,viable air,6,CFU_M3
9548833,2022-04-04,V-91172-3-30APR22-1,91172,ISO_8,V-91172-3,viable air,0,CFU_M3
9548838,2022-04-04,V-91175-1-30APR22-1,91175,ISO_8,V-91175-1,viable air,0,CFU_M3
9548835,2022-04-04,V-91172-5-30APR22-1,91172,ISO_8,V-91172-5,viable air,0,CFU_M3
9548825,2022-04-04,V-91170-1-30APR22-1,91170,ISO_8,V-91170-1,viable air,0,CFU_M3
9548837,2022-04-04,V-91174-1-30APR22-1,91174,ISO_8,V-91174-1,viable air,3,CFU_M3
9548836,2022-04-04,V-91173-1-30APR22-1,91173,ISO_8,V-91173-1,viable air,0,CFU_M3
9548834,2022-04-04,V-91172-4-30APR22-1,91172,ISO_8,V-91172-4,viable air,0,CFU_M3
9548830,2022-04-04,V-91171-5-30APR22-1,91171,ISO_8,V-91171-5,viable air,0,CFU_M3
9508577,2022-04-04,F-91151S-1-30APR22-1,91151,ISO_8,F-91151S-1,surface,0,CFU_25CM2
9548826,2022-04-04,V-91171-1-30APR22-1,91171,ISO_8,V-91171-1,viable air,0,CFU_M3
9508587,2022-04-04,F-91173S-1-30APR22-1,91173,ISO_8,F-91173S-1,surface,1,CFU_25CM2
9508598,2022-04-04,W-91173S-1-30APR22-1,91173,ISO_8,W-91173S-1,surface,0,CFU_25CM2
9508588,2022-04-04,F-91174S-1-30APR22-1,91174,ISO_8,F-91174S-1,surface,0,CFU_25CM2
9508589,2022-04-04,F-91175S-1-30APR22-1,91175,ISO_8,F-91175S-1,surface,0,CFU_25CM2
9508590,2022-04-04,F-91176S-1-30APR22-1,91176,ISO_8,F-91176S-1,surface,1,CFU_25CM2
9508599,2022-04-04,W-91176S-1-30APR22-1,91176,ISO_8,W-91176S-1,surface,0,CFU_25CM2
9548827,2022-04-04,V-91171-2-30APR22-1,91171,ISO_8,V-91171-2,viable air,1,CFU_M3
9508591,2022-04-04,F-91177S-1-30APR22-1,91177,ISO_8,F-91177S-1,surface,0,CFU_25CM2
9508592,2022-04-04,F-91178S-1-30APR22-1,91178,ISO_8,F-91178S-1,surface,0,CFU_25CM2
9508600,2022-04-04,W-91178S-1-30APR22-1,91178,ISO_8,W-91178S-1,surface,0,CFU_25CM2
9508578,2022-04-04,F-91154S-1-30APR22-1,91154,ISO_8,F-91154S-1,surface,1,CFU_25CM2
9508593,2022-04-04,W-91154S-1-30APR22-1,91154,ISO_8,W-91154S-1,surface,1,CFU_25CM2
9508583,2022-04-04,F-91172S-2-30APR22-1,91172,ISO_8,F-91172S-2,surface,0,CFU_25CM2
9508582,2022-04-04,F-91172S-1-30APR22-1,91172,ISO_8,F-91172S-1,surface,0,CFU_25CM2
9508596,2022-04-04,W-91172S-1-30APR22-1,91172,ISO_8,W-91172S-1,surface,0,CFU_25CM2
9548828,2022-04-04,V-91171-3-30APR22-1,91171,ISO_8,V-91171-3,viable air,1,CFU_M3
9508586,2022-04-04,F-91172S-5-30APR22-1,91172,ISO_8,F-91172S-5,surface,0,CFU_25CM2
9508585,2022-04-04,F-91172S-4-30APR22-1,91172,ISO_8,F-91172S-4,surface,0,CFU_25CM2
9508597,2022-04-04,W-91172S-2-30APR22-1,91172,ISO_8,W-91172S-2,surface,0,CFU_25CM2
9508581,2022-04-04,F-91171S-2-30APR22-1,91171,ISO_8,F-91171S-2,surface,0,CFU_25CM2
9508584,2022-04-04,F-91172S-3-30APR22-1,91172,ISO_8,F-91172S-3,surface,1,CFU_25CM2
9508580,2022-04-04,F-91171S-1-30APR22-1,91171,ISO_8,F-91171S-1,surface,0,CFU_25CM2
9508595,2022-04-04,W-91171S-1-30APR22-1,91171,ISO_8,W-91171S-1,surface,0,CFU_25CM2
9508579,2022-04-04,F-91170S-1-30APR22-1,91170,ISO_8,F-91170S-1,surface,0,CFU_25CM2
9508594,2022-04-04,W-91170S-1-30APR22-1,91170,ISO_8,W-91170S-1,surface,0,CFU_25CM2
9548829,2022-04-04,V-91171-4-30APR22-1,91171,ISO_8,V-91171-4,viable air,0,CFU_M3
9553821,2022-04-05,V-92057-A-05APR22-1,92057,ISO_8,V-92057-A,viable air,0,CFU_M3
9553819,2022-04-05,V-94003-A-05APR22-1,94003,ISO_8,V-94003-A,viable air,0,CFU_M3
9553817,2022-04-05,V-93110-A-05APR22-1,93110,ISO_8,V-93110-A,viable air,0,CFU_M3
9551482,2022-04-05,S-92074-H-1-09APR22-1,92074,ISO_5,S-92074-H-1,surface,0,CFU_25CM2
9551485,2022-04-05,S-92074-H-2-09APR22-1,92074,ISO_5,S-92074-H-2,surface,0,CFU_25CM2
9547660,2022-04-05,V-92074-1-15APR22-1,92074,ISO_8,V-92074-1,viable air,0,CFU_M3
9547664,2022-04-05,V-92074-2-15APR22-1,92074,ISO_8,V-92074-2,viable air,0,CFU_M3
9551488,2022-04-05,V-92074-H-1-09APR22-1,92074,ISO_5,V-92074-H-1,viable air,0,CFU_M3
9547653,2022-04-05,V-92070-1-15APR22-1,92070,ISO_8,V-92070-1,viable air,0,CFU_M3
9547656,2022-04-05,V-92073-1-15APR22-1,92073,ISO_8,V-92073-1,viable air,0,CFU_M3
9551496,2022-04-05,V-92074-H-2-09APR22-1,92074,ISO_5,V-92074-H-2,viable air,0,CFU_M3
9547571,2022-04-05,W-92074S-1-15APR22-1,92074,ISO_8,W-92074S-1,surface,0,CFU_25CM2
9547575,2022-04-05,W-92074S-2-15APR22-1,92074,ISO_8,W-92074S-2,surface,0,CFU_25CM2
9547578,2022-04-05,W-92074S-3-15APR22-1,92074,ISO_8,W-92074S-3,surface,0,CFU_25CM2
9547581,2022-04-05,W-92074S-4-15APR22-1,92074,ISO_8,W-92074S-4,surface,0,CFU_25CM2
9547561,2022-04-05,F-92074S-1-15APR22-1,92074,ISO_8,F-92074S-1,surface,6,CFU_25CM2
9547553,2022-04-05,F-92070S-1-15APR22-1,92070,ISO_8,F-92070S-1,surface,1,CFU_25CM2
9547564,2022-04-05,W-92070S-1-15APR22-1,92070,ISO_8,W-92070S-1,surface,0,CFU_25CM2
9547557,2022-04-05,F-92073S-1-15APR22-1,92073,ISO_8,F-92073S-1,surface,0,CFU_25CM2
9547568,2022-04-05,W-92073S-1-15APR22-1,92073,ISO_8,W-92073S-1,surface,0,CFU_25CM2
9554113,2022-04-05,F-92057S-A-05APR22-1,92057,ISO_8,F-92057S-A,surface,0,CFU_25CM2
9554114,2022-04-05,V-92057-A-05APR22-2,92057,ISO_8,V-92057-A,viable air,1,CFU_M3
9554444,2022-04-06,F-91171S-A-06APR22-1,91171,ISO_8,F-91171S-A,surface,0,CFU_25CM2
9554443,2022-04-06,V-91171-A-06APR22-1,91171,ISO_8,V-91171-A,viable air,1,CFU_M3
9554448,2022-04-06,V-92057-A-06APR22-1,92057,ISO_8,V-92057-A,viable air,4,CFU_M3
9554452,2022-04-06,V-93110-A-06APR22-1,93110,ISO_8,V-93110-A,viable air,0,CFU_M3
9554454,2022-04-06,V-94003-A-06APR22-1,94003,ISO_8,V-94003-A,viable air,0,CFU_M3
9555732,2022-04-07,V-92057-A-07APR22-1,92057,ISO_8,V-92057-A,viable air,0,CFU_M3
9555694,2022-04-07,V-93110-A-07APR22-1,93110,ISO_8,V-93110-A,viable air,0,CFU_M3
9555696,2022-04-07,V-93110-B-07APR22-1,93110,ISO_8,V-93110-B,viable air,0,CFU_M3
9555753,2022-04-07,F-93110S-A-07APR22-1,93110,ISO_8,F-93110S-A,surface,0,CFU_25CM2
9555755,2022-04-07,F-93110S-B-07APR22-1,93110,ISO_8,F-93110S-B,surface,0,CFU_25CM2
9555695,2022-04-07,V-94003-A-07APR22-1,94003,ISO_8,V-94003-A,viable air,0,CFU_M3
9555697,2022-04-07,V-94003-B-07APR22-1,94003,ISO_8,V-94003-B,viable air,0,CFU_M3
9555754,2022-04-07,F-94003S-A-07APR22-1,94003,ISO_8,F-94003S-A,surface,0,CFU_25CM2
9555756,2022-04-07,F-94003S-B-07APR22-1,94003,ISO_8,F-94003S-B,surface,0,CFU_25CM2
9548847,2022-04-07,V-91140-1-15APR22-1,91140,ISO_8,V-91140-1,viable air,0,CFU_M3
9548850,2022-04-07,V-91142-1-15APR22-1,91142,ISO_8,V-91142-1,viable air,0,CFU_M3
9548851,2022-04-07,V-91143-1-15APR22-1,91143,ISO_8,V-91143-1,viable air,0,CFU_M3
9548848,2022-04-07,V-91141-1-15APR22-1,91141,ISO_8,V-91141-1,viable air,3,CFU_M3
9548849,2022-04-07,V-91141-3-15APR22-1,91141,ISO_8,V-91141-3,viable air,1,CFU_M3
9557490,2022-04-08,F-91170S-1-08APR22-2,91170,ISO_8,F-91170S-1,surface,1,CFU_25CM2
9557503,2022-04-08,W-91170S-1-08APR22-2,91170,ISO_8,W-91170S-1,surface,1,CFU_25CM2
9557504,2022-04-08,W-91171S-1-08APR22-2,91171,ISO_8,W-91171S-1,surface,0,CFU_25CM2
9557491,2022-04-08,F-91171S-1-08APR22-2,91171,ISO_8,F-91171S-1,surface,0,CFU_25CM2
9557492,2022-04-08,F-91171S-2-08APR22-2,91171,ISO_8,F-91171S-2,surface,0,CFU_25CM2
9557444,2022-04-08,V-91171-1-08APR22-2,91171,ISO_8,V-91171-1,viable air,0,CFU_M3
9557445,2022-04-08,V-91171-2-08APR22-2,91171,ISO_8,V-91171-2,viable air,0,CFU_M3
9557448,2022-04-08,V-91171-5-08APR22-2,91171,ISO_8,V-91171-5,viable air,0,CFU_M3
9557446,2022-04-08,V-91171-3-08APR22-2,91171,ISO_8,V-91171-3,viable air,0,CFU_M3
9557447,2022-04-08,V-91171-4-08APR22-2,91171,ISO_8,V-91171-4,viable air,0,CFU_M3
9557443,2022-04-08,V-91170-1-08APR22-2,91170,ISO_8,V-91170-1,viable air,0,CFU_M3
9557452,2022-04-08,V-91172-4-08APR22-2,91172,ISO_8,V-91172-4,viable air,0,CFU_M3
9557454,2022-04-08,V-91173-1-08APR22-2,91173,ISO_8,V-91173-1,viable air,0,CFU_M3
9557455,2022-04-08,V-91175-1-08APR22-2,91175,ISO_8,V-91175-1,viable air,0,CFU_M3
9557451,2022-04-08,V-91172-3-08APR22-2,91172,ISO_8,V-91172-3,viable air,0,CFU_M3
9557509,2022-04-08,W-91178S-1-08APR22-2,91178,ISO_8,W-91178S-1,surface,0,CFU_25CM2
9557502,2022-04-08,F-91178S-1-08APR22-2,91178,ISO_8,F-91178S-1,surface,0,CFU_25CM2
9557450,2022-04-08,V-91172-2-08APR22-2,91172,ISO_8,V-91172-2,viable air,0,CFU_M3
9557456,2022-04-08,V-91176-1-08APR22-2,91176,ISO_8,V-91176-1,viable air,0,CFU_M3
9557494,2022-04-08,F-91172S-2-08APR22-2,91172,ISO_8,F-91172S-2,surface,0,CFU_25CM2
9557493,2022-04-08,F-91172S-1-08APR22-2,91172,ISO_8,F-91172S-1,surface,0,CFU_25CM2
9557505,2022-04-08,W-91172S-1-08APR22-2,91172,ISO_8,W-91172S-1,surface,0,CFU_25CM2
9557501,2022-04-08,F-91177S-1-08APR22-2,91177,ISO_8,F-91177S-1,surface,0,CFU_25CM2
9557457,2022-04-08,V-91177-1-08APR22-2,91177,ISO_8,V-91177-1,viable air,0,CFU_M3
9557495,2022-04-08,F-91172S-3-08APR22-2,91172,ISO_8,F-91172S-3,surface,0,CFU_25CM2
9557508,2022-04-08,W-91176S-1-08APR22-2,91176,ISO_8,W-91176S-1,surface,0,CFU_25CM2
9557499,2022-04-08,F-91175S-1-08APR22-2,91175,ISO_8,F-91175S-1,surface,0,CFU_25CM2
9557500,2022-04-08,F-91176S-1-08APR22-2,91176,ISO_8,F-91176S-1,surface,0,CFU_25CM2
9557458,2022-04-08,V-91178-1-08APR22-2,91178,ISO_8,V-91178-1,viable air,0,CFU_M3
9557497,2022-04-08,F-91172S-5-08APR22-2,91172,ISO_8,F-91172S-5,surface,0,CFU_25CM2
9557496,2022-04-08,F-91172S-4-08APR22-2,91172,ISO_8,F-91172S-4,surface,0,CFU_25CM2
9557506,2022-04-08,W-91172S-2-08APR22-2,91172,ISO_8,W-91172S-2,surface,0,CFU_25CM2
9557498,2022-04-08,F-91173S-1-08APR22-2,91173,ISO_8,F-91173S-1,surface,0,CFU_25CM2
9557507,2022-04-08,W-91173S-1-08APR22-2,91173,ISO_8,W-91173S-1,surface,0,CFU_25CM2
9557453,2022-04-08,V-91172-5-08APR22-2,91172,ISO_8,V-91172-5,viable air,0,CFU_M3
9557449,2022-04-08,V-91172-1-08APR22-2,91172,ISO_8,V-91172-1,viable air,0,CFU_M3
9557356,2022-04-08,V-91141-A-08APR22-1,91141,ISO_8,V-91141-A,viable air,0,CFU_M3
9557556,2022-04-08,S-91141-H-2-08APR22-1,91141,ISO_8,S-91141-H-2,surface,0,CFU_25CM2
9558545,2022-04-09,V-92058-2-09APR22-1,92058,ISO_8,V-92058-2,viable air,0,CFU_M3
9558544,2022-04-09,V-92058-1-09APR22-1,92058,ISO_8,V-92058-1,viable air,0,CFU_M3
9558539,2022-04-09,V-92014-1-09APR22-1,92014,ISO_8,V-92014-1,viable air,0,CFU_M3
9558586,2022-04-09,F-91141S-A-09APR22-1,91141,ISO_8,F-91141S-A,surface,1,CFU_25CM2
9558585,2022-04-09,V-91141-A-09APR22-1,91141,ISO_8,V-91141-A,viable air,5,CFU_M3
9558542,2022-04-09,V-92057-2-09APR22-1,92057,ISO_8,V-92057-2,viable air,0,CFU_M3
9558543,2022-04-09,V-92057-3-09APR22-1,92057,ISO_8,V-92057-3,viable air,0,CFU_M3
9558541,2022-04-09,V-92057-1-09APR22-1,92057,ISO_8,V-92057-1,viable air,0,CFU_M3
9558693,2022-04-09,V-92110A-1-09APR22-2,92110,ISO_8,V-92110A-1,viable air,0,CFU_M3
9558694,2022-04-09,V-92110B-1-09APR22-2,92110,ISO_8,V-92110B-1,viable air,0,CFU_M3
9558569,2022-04-09,F-92059S-1-09APR22-1,92059,ISO_8,F-92059S-1,surface,0,CFU_25CM2
9558575,2022-04-09,F-92110AS-1-09APR22-1,92110,ISO_8,F-92110AS-1,surface,0,CFU_25CM2
9558565,2022-04-09,F-92057S-1-09APR22-1,92057,ISO_8,F-92057S-1,surface,0,CFU_25CM2
9558566,2022-04-09,F-92057S-2-09APR22-1,92057,ISO_8,F-92057S-2,surface,0,CFU_25CM2
9558567,2022-04-09,F-92058S-1-09APR22-1,92058,ISO_8,F-92058S-1,surface,1,CFU_25CM2
9558568,2022-04-09,F-92058S-2-09APR22-1,92058,ISO_8,F-92058S-2,surface,1,CFU_25CM2
9558564,2022-04-09,F-92056S-1-09APR22-1,92056,ISO_8,F-92056S-1,surface,0,CFU_25CM2
9558548,2022-04-09,V-92061-1-09APR22-1,92061,ISO_8,V-92061-1,viable air,0,CFU_M3
9558546,2022-04-09,V-92059-1-09APR22-1,92059,ISO_8,V-92059-1,viable air,0,CFU_M3
9558547,2022-04-09,V-92060-1-09APR22-1,92060,ISO_8,V-92060-1,viable air,0,CFU_M3
9558563,2022-04-09,F-92014S-1-09APR22-1,92014,ISO_8,F-92014S-1,surface,1,CFU_25CM2
9558570,2022-04-09,F-92060S-1-09APR22-1,92060,ISO_8,F-92060S-1,surface,0,CFU_25CM2
9558540,2022-04-09,V-92056-1-09APR22-1,92056,ISO_8,V-92056-1,viable air,0,CFU_M3
9558572,2022-04-09,W-92057S-1-09APR22-1,92057,ISO_8,W-92057S-1,surface,0,CFU_25CM2
9558573,2022-04-09,W-92057S-2-09APR22-1,92057,ISO_8,W-92057S-2,surface,0,CFU_25CM2
9558574,2022-04-09,W-92058S-1-09APR22-1,92058,ISO_8,W-92058S-1,surface,0,CFU_25CM2
9558576,2022-04-09,F-92110BS-1-09APR22-1,92110,ISO_8,F-92110BS-1,surface,0,CFU_25CM2
9558577,2022-04-09,W-92110BS-1-09APR22-1,92110,ISO_8,W-92110BS-1,surface,0,CFU_25CM2
9551507,2022-04-09,S-92092-H-1-09APR22-1,92092,ISO_5,S-92092-H-1,surface,0,CFU_25CM2
9547604,2022-04-09,W-92092S-1-15APR22-1,92092,ISO_8,W-92092S-1,surface,0,CFU_25CM2
9547608,2022-04-09,W-92092S-2-15APR22-1,92092,ISO_8,W-92092S-2,surface,0,CFU_25CM2
9547611,2022-04-09,W-92092S-3-15APR22-1,92092,ISO_8,W-92092S-3,surface,0,CFU_25CM2
9547617,2022-04-09,WS-92092S-1-15APR22-1,92092,ISO_8,WS-92092S-1,surface,0,CFU_25CM2
9547621,2022-04-09,WS-92092S-2-15APR22-1,92092,ISO_8,WS-92092S-2,surface,0,CFU_25CM2
9547594,2022-04-09,F-92092S-1-15APR22-1,92092,ISO_8,F-92092S-1,surface,0,CFU_25CM2
9551510,2022-04-09,V-92092-H-1-09APR22-1,92092,ISO_5,V-92092-H-1,viable air,0,CFU_M3
9547591,2022-04-09,F-92092AS-1-15APR22-1,92092,ISO_8,F-92092AS-1,surface,0,CFU_25CM2
9547587,2022-04-09,F-92091S-1-15APR22-1,92091,ISO_8,F-92091S-1,surface,0,CFU_25CM2
9547601,2022-04-09,W-92091S-1-15APR22-1,92091,ISO_8,W-92091S-1,surface,0,CFU_25CM2
9547598,2022-04-09,F-92093S-1-15APR22-1,92093,ISO_8,F-92093S-1,surface,0,CFU_25CM2
9547614,2022-04-09,W-92093S-1-15APR22-1,92093,ISO_8,W-92093S-1,surface,0,CFU_25CM2
9558571,2022-04-10,F-92061S-1-09APR22-1,92061,ISO_8,F-92061S-1,surface,0,CFU_25CM2
9557849,2022-04-11,S-92092-H-1-16APR22-1,92092,ISO_5,S-92092-H-1,surface,0,CFU_25CM2
9557852,2022-04-11,V-92092-H-1-16APR22-1,92092,ISO_5,V-92092-H-1,viable air,0,CFU_M3
9560683,2022-04-12,SP-92074-H-1-12APR22-1,92074,ISO_5,SP-92074-H-1,settle plate,0,CFU
9560684,2022-04-12,SP-92074-H-2-12APR22-1,92074,ISO_5,SP-92074-H-2,settle plate,0,CFU
9557830,2022-04-12,S-92074-H-1-16APR22-1,92074,ISO_5,S-92074-H-1,surface,0,CFU_25CM2
9557833,2022-04-12,S-92074-H-2-16APR22-1,92074,ISO_5,S-92074-H-2,surface,0,CFU_25CM2
9557836,2022-04-12,V-92074-H-1-16APR22-1,92074,ISO_5,V-92074-H-1,viable air,0,CFU_M3
9557840,2022-04-12,V-92074-H-2-16APR22-1,92074,ISO_5,V-92074-H-2,viable air,0,CFU_M3
9547703,2022-04-12,V-92093-1-15APR22-1,92093,ISO_8,V-92093-1,viable air,0,CFU_M3
9547684,2022-04-12,V-92091-1-15APR22-1,92091,ISO_8,V-92091-1,viable air,0,CFU_M3
9547698,2022-04-12,V-92092A-1-15APR22-1,92092,ISO_8,V-92092A-1,viable air,0,CFU_M3
9547691,2022-04-12,V-92092-2-15APR22-1,92092,ISO_8,V-92092-2,viable air,1,CFU_M3
9547687,2022-04-12,V-92092-1-15APR22-1,92092,ISO_8,V-92092-1,viable air,0,CFU_M3
9547695,2022-04-12,V-92092-3-15APR22-1,92092,ISO_8,V-92092-3,viable air,0,CFU_M3
9547805,2022-04-13,V-93211A-1-30APR22-1,93211,ISO_9,V-93211A-1,viable air,0,CFU_M3
9547816,2022-04-13,V-93214-1-30APR22-1,93214,ISO_9,V-93214-1,viable air,0,CFU_M3
9507768,2022-04-13,F-93211AS-1-30APR22-1,93211,ISO_9,F-93211AS-1,surface,0,CFU_25CM2
9507809,2022-04-13,W-93211AS-1-30APR22-1,93211,ISO_9,W-93211AS-1,surface,1,CFU_25CM2
9507785,2022-04-13,F-93214S-1-30APR22-1,93214,ISO_9,F-93214S-1,surface,0,CFU_25CM2
9507788,2022-04-13,F-93215S-1-30APR22-1,93215,ISO_9,F-93215S-1,surface,0,CFU_25CM2
9507853,2022-04-13,WS-93211S-2-30APR22-1,93211,ISO_9,WS-93211S-2,surface,0,CFU_25CM2
9507775,2022-04-13,F-93211S-4-30APR22-1,93211,ISO_9,F-93211S-4,surface,0,CFU_25CM2
9547781,2022-04-13,V-93211-2-30APR22-1,93211,ISO_9,V-93211-2,viable air,0,CFU_M3
9547813,2022-04-13,V-93213-1-30APR22-1,93213,ISO_9,V-93213-1,viable air,0,CFU_M3
9507850,2022-04-13,WS-93211S-1-30APR22-1,93211,ISO_9,WS-93211S-1,surface,0,CFU_25CM2
9507856,2022-04-13,WS-93211S-3-30APR22-1,93211,ISO_9,WS-93211S-3,surface,0,CFU_25CM2
9507859,2022-04-13,WS-93211S-4-30APR22-1,93211,ISO_9,WS-93211S-4,surface,1,CFU_25CM2
9507773,2022-04-13,F-93211S-2-30APR22-1,93211,ISO_9,F-93211S-2,surface,0,CFU_25CM2
9507862,2022-04-13,WS-93211S-5-30APR22-1,93211,ISO_9,WS-93211S-5,surface,1,CFU_25CM2
9507795,2022-04-13,F-93216S-1-30APR22-1,93216,ISO_9,F-93216S-1,surface,0,CFU_25CM2
9547778,2022-04-13,V-93211-1-30APR22-1,93211,ISO_9,V-93211-1,viable air,2,CFU_M3
9507834,2022-04-13,W-93211S-7-30APR22-1,93211,ISO_9,W-93211S-7,surface,0,CFU_25CM2
9547808,2022-04-13,V-93212-1-30APR22-1,93212,ISO_9,V-93212-1,viable air,4,CFU_M3
9507780,2022-04-13,F-93212S-1-30APR22-1,93212,ISO_9,F-93212S-1,surface,0,CFU_25CM2
9507770,2022-04-13,F-93211S-1-30APR22-1,93211,ISO_9,F-93211S-1,surface,0,CFU_25CM2
9507783,2022-04-13,F-93213S-1-30APR22-1,93213,ISO_9,F-93213S-1,surface,1,CFU_25CM2
9547826,2022-04-13,V-93216-1-30APR22-1,93216,ISO_9,V-93216-1,viable air,2,CFU_M3
9547774,2022-04-13,V-93210-1-30APR22-1,93210,ISO_9,V-93210-1,viable air,0,CFU_M3
9547784,2022-04-13,V-93211-3-30APR22-1,93211,ISO_9,V-93211-3,viable air,2,CFU_M3
9547786,2022-04-13,V-93211-4-30APR22-1,93211,ISO_9,V-93211-4,viable air,0,CFU_M3
9547789,2022-04-13,V-93211-5-30APR22-1,93211,ISO_9,V-93211-5,viable air,4,CFU_M3
9547819,2022-04-13,V-93215-1-30APR22-1,93215,ISO_9,V-93215-1,viable air,10,CFU_M3
9507764,2022-04-13,F-93210S-1-30APR22-1,93210,ISO_9,F-93210S-1,surface,2,CFU_25CM2
9507807,2022-04-13,W-93210S-1-30APR22-1,93210,ISO_9,W-93210S-1,surface,0,CFU_25CM2
9547823,2022-04-13,V-93215-2-30APR22-1,93215,ISO_9,V-93215-2,viable air,0,CFU_M3
9507815,2022-04-13,W-93211S-2-30APR22-1,93211,ISO_9,W-93211S-2,surface,0,CFU_25CM2
9507819,2022-04-13,W-93211S-3-30APR22-1,93211,ISO_9,W-93211S-3,surface,0,CFU_25CM2
